Name,Num Worth in Billions,Age,Gender,Source,Country of Citizenship
Chen Fashu,$2.80 ,55,Male,investments,China
Yu Yong,$2.80 ,55,Male,mining investments,China
Feng Hailiang,$2.40 ,55,Male,"copper, real estate",China
Huo Qinghua,$1.60 ,55,Male,coal,China
Zheng Jianjiang,$1.30 ,55,Male,electrical equipment,China
Han Tao,$1.30 ,55,Male,electronics components,China
Yang Keng,$1 ,55,Male,real estate,China
Nassef Sawiris,$5.40 ,55,Male,"construction, chemicals",Egypt
Yasseen Mansour,$1.40 ,55,Male,diversified,Egypt
Hans Georg Naeder,$2.10 ,55,Male,prosthetics,Germany
Sanjiv Goenka,$1.40 ,55,Male,diversified,India
Ajay Kalsi,$1.30 ,55,Male,oil and gas,India
G.V. Prasad,$1 ,55,Male,pharmaceuticals,India
Paolo Barilla,$1.50 ,55,Male,Barilla pasta,Italy
Remo Ruffini,$1.30 ,55,Male,winter jackets,Italy
Vladimir Kim,$1.60 ,55,Male,mining,Kazakhstan
Aziz Akhannouch,$1.50 ,55,Male,"petroleum, diversified",Morocco
Andreas Halvorsen,$3.10 ,55,Male,hedge funds,Norway
Vladimir Potanin,$13.90 ,55,Male,metals,Russia
Andrei Kosogov,$1.30 ,55,Male,"oil, banking, telecom",Russia
Chey Tae-Won,$3.10 ,55,Male,computer services/telecoms,South Korea
Thomas Sandell,$1.30 ,55,Male,hedge funds,Sweden
Urs Wietlisbach,$1.70 ,55,Male,private equity,Switzerland
Victor Pinchuk,$1.30 ,55,Male,"steel pipes, diversified",Ukraine
Mark Coombs,$1.80 ,55,Male,finance,United Kingdom
David Harding,$1.60 ,55,Male,finance,United Kingdom
Anthony Pritzker,$3.40 ,55,Male,"hotels, investments",United States
David Siegel,$3.30 ,55,Male,Hedge Funds,United States
Daniel Och,$2.60 ,55,Male,hedge funds,United States
Jim Breyer,$2.60 ,55,Male,venture capital,United States
Mark Walter,$2.40 ,55,Male,finance,United States
Noam Gottesman,$2.30 ,55,Male,hedge funds,United States
John Fisher,$2.20 ,55,Male,Gap,United States
Nicolas Berggruen,$1.70 ,55,Male,investments,United States
Marc Lasry,$1.60 ,55,Male,hedge funds,United States
Reed Hastings,$1.30 ,55,Male,Netflix,United States
"B. Wayne Hughes, Jr.",$1.20 ,55,Male,storage facilities,United States
Anthony Pratt,$4.70 ,56,Male,manufacturing,Australia
Pedro Moreira Salles,$3.40 ,56,Male,"banking, minerals",Brazil
N. Murray Edwards,$1.70 ,56,Male,oil & gas,Canada
Guy Laliberte,$1.30 ,56,Male,Cirque du Soleil,Canada
Chu Mang Yee,$5.90 ,56,Male,real estate,China
Zhou Jianping,$4.20 ,56,Male,apparel,China
Huang Wei,$2.50 ,56,Male,diversified,China
Ke Xiping,$1.60 ,56,Male,investments,China
Zhang Keqiang,$1 ,56,Male,real estate,China
Matthias Reinhart,$1.70 ,56,Male,Finance,Germany
Yu Peidi,$1.30 ,56,Male,real estate,Hong Kong
Rakesh Jhunjhunwala,$2.20 ,56,Male,investments,India
Achal Bakeri,$1.30 ,56,Male,air coolers,India
Martua Sitorus,$1.20 ,56,Male,palm oil,Indonesia
Luca Barilla,$1.50 ,56,Male,Barilla pasta,Italy
Sandro Veronesi,$1.50 ,56,Male,fashion retailer,Italy
"Enrique Razon, Jr.",$3.30 ,56,Male,ports,Philippines
Andrei Guriev,$4 ,56,Male,fertilizers,Russia
Andrei Kozitsyn,$3.30 ,56,Male,metals,Russia
Alexander Mamut,$3.20 ,56,Male,investments,Russia
Lee Jay-Hyun,$2.20 ,56,Male,food products/entertainment,South Korea
Jorn Rausing,$6.20 ,56,Male,packaging,Sweden
Stephen Bisciotti,$3.60 ,56,Male,"outsourcing, football",United States
Jeff Sutton,$3.40 ,56,Male,real estate,United States
"Henry Nicholas, III.",$2.50 ,56,Male,semiconductors,United States
Jim Davis,$2.20 ,56,Male,staffing & recruiting firm,United States
James Coulter,$2.10 ,56,Male,private equity,United States
Mark Stevens,$1.90 ,56,Male,venture capital,United States
Todd Wagner,$1.60 ,56,Male,online media,United States
Kenneth Tuchman,$1.20 ,56,Male,outsourcing,United States
Stephen Feinberg,$1.20 ,56,Male,private equity,United States
Peter Sperling,$1.20 ,56,Male,education,United States
"Cargill MacMillan, III.",$1.20 ,56,Male,Cargill,United States
William Lauder,$1.20 ,56,Male,Estee Lauder,United States
Lawrence Stroll,$2.40 ,57,Male,retail,Canada
Hui Ka Yan,$9.80 ,57,Male,real estate,China
Xue Xiangdong,$2.30 ,57,Male,software,China
Zhu Xingliang,$2.10 ,57,Male,construction,China
Huang Qiaoling,$1.80 ,57,Male,amusement parks,China
Chen Jiancheng,$1.10 ,57,Male,manufacturing,China
Ilkka Herlin,$1.40 ,57,Male,"elevators, escalators",Finland
Uday Kotak,$8.10 ,57,Male,banking,India
Anil Ambani,$3.30 ,57,Male,diversified,India
Aloke Lohia,$1.40 ,57,Male,petrochemicals,India
Richard Chandler,$2.50 ,57,Male,investments,New Zealand
Kjell Inge Rokke,$2.30 ,57,Male,"shipping, seafood",Norway
Carlos Rodriguez-Pastor,$2.30 ,57,Male,finance,Peru
Alexander Abramov,$4 ,57,Male,"steel, mining",Russia
Sait-Salam Gutseriev,$1.60 ,57,Male,"oil, banking, real estate",Russia
Ron Sim,$1.10 ,57,Male,retail,Singapore
Park Hyeon-Joo,$2.30 ,57,Male,mutual funds,South Korea
Cho Jung-Ho,$1.10 ,57,Male,finance,South Korea
Thomas Meyer,$2 ,57,Male,apparel retailer,Switzerland
Peter Spuhler,$1.20 ,57,Male,train cars,Switzerland
Wei Yin-Heng,$1.30 ,57,Male,"food, beverages",Taiwan
Wu Chung-Yi,$1 ,57,Male,auto parts,Taiwan
Murat Ulker,$3.10 ,57,Male,food manufacturing,Turkey
Mark Dixon,$1.30 ,57,Male,office real estate,United Kingdom
Jeffery Hildebrand,$4.20 ,57,Male,oil,United States
Rick Caruso,$3.70 ,57,Male,real estate,United States
James Irsay,$2.50 ,57,Male,Indianapolis Colts,United States
Daniel Pritzker,$2.10 ,57,Male,"hotels, investments",United States
James Dinan,$2 ,57,Male,hedge funds,United States
Jeffrey Gundlach,$1.70 ,57,Male,investments,United States
"H. Ross Perot, Jr.",$1.60 ,57,Male,real estate,United States
Brian Roberts,$1.50 ,57,Male,Comcast,United States
Juan Carlos Escotet,$3.80 ,57,Male,banking,Venezuela
Xu Shihui,$6.60 ,58,Male,"snacks, beverages",China
Sun Piaoyang,$3.80 ,58,Male,pharmaceuticals,China
Zhu Gongshan,$2.60 ,58,Male,solar panel materials,China
Xu Ziquan,$1.60 ,58,Male,software,China
Li Fuchao,$1.20 ,58,Male,auto parts,China
Zhang Changhong,$1.20 ,58,Male,financial information service,China
Fu Kwan,$1.10 ,58,Male,"real estate, diversified",China
Jaime Gilinski Bacal,$3.90 ,58,Male,banking,Colombia
Christoph Henkel,$1.90 ,58,Male,consumer goods,Germany
Sunil Mittal,$6.60 ,58,Male,telecom,India
P.V. Ramprasad Reddy,$3.10 ,58,Male,pharmaceuticals,India
Harsh Goenka,$1.60 ,58,Male,diversified,India
Abdul Rasyid,$1 ,58,Male,timber,Indonesia
Denis O'Brien,$5.60 ,58,Male,telecom,Ireland
Guido Barilla,$1.50 ,58,Male,Barilla pasta,Italy
Domenico Dolce,$1.40 ,58,Male,Dolce & Gabbana,Italy
Yoshiyuki Sankai,$1.30 ,58,Male,robotics,Japan
Bulat Utemuratov,$2.40 ,58,Male,"mining, banking, hotels",Kazakhstan
Mikhail Gutseriev,$6.30 ,58,Male,"oil, real estate",Russia
Boris Mints,$1.40 ,58,Male,real estate,Russia
Sergei Katsiev,$1.10 ,58,Male,"retail, wholesale",Russia
Zhong Sheng Jian,$1.50 ,58,Male,real estate,Singapore
Seo Jung-Jin,$2.30 ,58,Male,biotechnology,South Korea
Rafael Del Pino y Calvo-Sotelo,$3.10 ,58,Male,construction,Spain
Pierre Chen,$1.90 ,58,Male,"art, electronics",Taiwan
Chin Jong Hwa,$1.70 ,58,Male,auto parts,Taiwan
Vichai Srivaddhanaprabha,$3.30 ,58,Male,duty-free,Thailand
Thongma Vijitpongpun,$1.40 ,58,Male,real estate,Thailand
Ahmet Calik,$1.40 ,58,Male,"energy, media, banking",Turkey
Mehmet Sinan Tara,$1.10 ,58,Male,construction,Turkey
Ayman Asfari,$1.10 ,58,Male,oil services,United Kingdom
H. Fisk Johnson,$3.70 ,58,Male,cleaning products,United States
Mark Cuban,$3.30 ,58,Male,online media,United States
Bill Haslam,$2.50 ,58,Male,truck stops,United States
Jon Stryker,$2.20 ,58,Male,medical equipment,United States
Louis Bacon,$1.80 ,58,Male,hedge funds,United States
Christopher Cline,$1.70 ,58,Male,coal,United States
Steve Case,$1.30 ,58,Male,AOL,United States
Paul Foster,$1.20 ,58,Male,oil refining,United States
J. Christopher Flowers,$1.20 ,58,Male,investments,United States
Henry Engelhardt,$1.20 ,58,Male,insurance,United States
Vivek Chaand Sehgal,$3.50 ,59,Male,auto parts,Australia
David Thomson,$26.10 ,59,Male,media,Canada
Chip Wilson,$2.30 ,59,Male,Lululemon,Canada
Jacques D'Amours,$1.60 ,59,Male,retail,Canada
Liang Wengen,$3.40 ,59,Male,construction equipment,China
Yang Kai,$3.30 ,59,Male,dairy products,China
Cao Longxiang,$2.60 ,59,Male,pharmaceuticals,China
Ni Zugen,$1.80 ,59,Male,appliances,China
Li Liufa,$1.70 ,59,Male,"steel, diversified",China
Fu Meicheng,$1.50 ,59,Male,"TV shows, movies",China
Zhang Zhangsun,$1.20 ,59,Male,real estate,China
Peng Jianhu,$1.10 ,59,Male,tourism,China
Chu Jinfu,$1.10 ,59,Male,electrical equipment,China
Wang Jinshu,$1 ,59,Male,chemicals,China
Zhou Mingjie & family,$1 ,59,Male,lighting installations,China
Antti Herlin,$4.10 ,59,Male,"elevators, escalators",Finland
Bernd Freier,$2.60 ,59,Male,retail,Germany
Susanne Zimmermann von Siefart,$1.50 ,59,Male,vacuums/home cleaning products,Germany
Li Sze Lim,$2.20 ,59,Male,real estate,Hong Kong
Mukesh Ambani,$22.80 ,59,Male,"petrochemicals, oil & gas",India
Sunny Varkey,$1.90 ,59,Male,education,India
Bachtiar Karim,$3.30 ,59,Male,manufacturing,Indonesia
Masayoshi Son,$18.20 ,59,Male,"internet, telecom",Japan
Christoph Zeller,$2.50 ,59,Male,dental implants,Liechtenstein
Aliko Dangote,$12.40 ,59,Male,"cement, sugar, flour",Nigeria
Viktor Vekselberg,$11.30 ,59,Male,"metals, energy",Russia
Gavril Yushvaev,$1.20 ,59,Male,"precious metals, real estate",Russia
Boris Rotenberg,$1.10 ,59,Male,"construction, pipes, chemicals",Russia
Ivan Glasenberg,$3.20 ,59,Male,mining,Switzerland
Tsai Eng-Meng,$5.70 ,59,Male,"food, beverages",Taiwan
Richard Tsai,$2.90 ,59,Male,finance,Taiwan
Wei Yin-Chun,$1.30 ,59,Male,"food, beverages",Taiwan
John Reece,$2.30 ,59,Male,Chemicals,United Kingdom
Len Blavatnik,$18.10 ,59,Male,diversified,United States
David Tepper,$11.40 ,59,Male,hedge funds,United States
James Chambers,$7.10 ,59,Male,Media,United States
Douglas Leone,$2.70 ,59,Male,venture capital,United States
Tilman Fertitta,$2.70 ,59,Male,"restaurants, casinos",United States
Warren Stephens,$2.40 ,59,Male,investment banking,United States
Brad Kelley,$2.20 ,59,Male,tobacco,United States
Glenn Dubin,$2 ,59,Male,hedge funds,United States
Kavitark Ram Shriram,$1.90 ,59,Male,"venture capital, Google",United States
Jon Yarbrough,$1.80 ,59,Male,video games,United States
Thomas Steyer,$1.60 ,59,Male,hedge funds,United States
Henry Swieca,$1.60 ,59,Male,hedge funds,United States
Seth Klarman,$1.40 ,59,Male,investments,United States
William Fisher,$1.30 ,59,Male,Gap,United States
David Teoh,$2.60 ,60,Male,telecommunications,Australia
Jose Roberto Marinho,$4.90 ,60,Male,media,Brazil
Walther Moreira Salles Junior,$3.40 ,60,Male,"banking, minerals",Brazil
Pang Kang,$3.50 ,60,Male,soy sauce maker,China
Lin Xiucheng,$2.90 ,60,Male,electronics,China
Li Shuirong,$2.90 ,60,Male,petrochemicals,China
Ren Jianhua,$1.80 ,60,Male,kitchen appliances,China
Wang Chaobin,$1.30 ,60,Male,real estate,China
Ni Zhaoxing,$1.20 ,60,Male,real estate,China
Bernard Fraisse,$3.10 ,60,Male,pharmaceuticals,France
Bidzina Ivanishvili,$4.80 ,60,Male,investments,Georgia
Andreas von Bechtolsheim,$3.80 ,60,Male,Google,Germany
Clemens Toennies,$2.30 ,60,Male,meat processing,Germany
Xiong Xuqiang,$1.80 ,60,Male,real estate,Hong Kong
Dilip Shanghvi,$16.60 ,60,Male,pharmaceuticals,India
M.A. Yusuff Ali,$4 ,60,Male,retail,India
Mangal Prabhat Lodha,$1.90 ,60,Male,real estate,India
Joy Alukkas,$1.10 ,60,Male,Jewelry,India
John Grayken,$6.30 ,60,Male,private equity,Ireland
Idan Ofer,$4 ,60,Male,"drilling, shipping",Israel
Beny Steinmetz,$1.20 ,60,Male,"mining, diamonds, real estate",Israel
Lev Leviev,$1.10 ,60,Male,diamonds,Israel
Najib Mikati,$2.50 ,60,Male,telecom,Lebanon
Ricardo Salinas Pliego,$3.60 ,60,Male,"retail, media",Mexico
Stein Erik Hagen,$2.20 ,60,Male,retail,Norway
Zygmunt Solorz-Zak,$2.90 ,60,Male,TV broadcasting,Poland
Vladimir Lisin,$11.30 ,60,Male,"steel, transport",Russia
Leonid Fedun,$5.40 ,60,Male,oil,Russia
Aras Agalarov,$1.30 ,60,Male,real estate,Russia
Daniel Tsai,$2.90 ,60,Male,finance,Taiwan
Mehmet Aydinlar,$1.40 ,60,Male,hospitals,Turkey
Turgay Ciner,$1.40 ,60,Male,diversified,Turkey
Andrew Currie,$2.30 ,60,Male,Chemicals,United Kingdom
Bill Gates,$79.10 ,60,Male,Microsoft,United States
Steve Ballmer,$27.10 ,60,Male,Microsoft,United States
Steve Cohen,$13 ,60,Male,hedge funds,United States
John Paulson,$8.60 ,60,Male,hedge funds,United States
Mitchell Rales,$4.10 ,60,Male,"manufacturing, investments",United States
Kelcy Warren,$3.90 ,60,Male,pipelines,United States
"Stephen Mandel, Jr.",$2.50 ,60,Male,hedge funds,United States
Joe Mansueto,$2.20 ,60,Male,investment research,United States
Meg Whitman,$2.20 ,60,Male,eBay,United States
Jonathan Nelson,$2 ,60,Male,private equity,United States
Bruce Karsh,$1.90 ,60,Male,private equity,United States
Lee Bass,$1.80 ,60,Male,"oil, investments",United States
Vincent Viola,$1.80 ,60,Male,electronic trading,United States
Dan Wilks,$1.30 ,60,Male,natural gas,United States
Walter Faria,$3.60 ,61,Male,beer,Brazil
Carlo Fidani,$2 ,61,Male,real estate,Canada
Wang Jianlin,$33.70 ,61,Male,real estate,China
Tong Jinquan,$4.40 ,61,Male,real estate,China
Jiang Weiping,$2.30 ,61,Male,chemicals,China
Miao Shouliang,$1.20 ,61,Male,"real estate, diversified",China
Rolf Gerling,$1.70 ,61,Male,insurance,Germany
Ajay Piramal,$3.30 ,61,Male,pharmaceuticals,India
Senapathy Gopalakrishnan,$1.60 ,61,Male,software services,India
Nandan Nilekani,$1.60 ,61,Male,software services,India
Ravi Jaipuria,$1.60 ,61,Male,soft drinks,India
Anand Mahindra,$1.40 ,61,Male,automobiles,India
Surendra Hiranandani,$1.10 ,61,Male,real estate,India
S.D. Shibulal,$1 ,61,Male,software services,India
Shaul Shani,$3.20 ,61,Male,telecom,Israel
Renzo Rosso,$3.40 ,61,Male,fashion retail,Italy
Masahiro Miki,$3.90 ,61,Male,retail,Japan
Binod Chaudhary,$1.20 ,61,Male,diversified,Nepal
John de Mol,$1.50 ,61,Male,TV,Netherlands
Graeme Hart,$7.60 ,61,Male,investments,New Zealand
Lucio and Susan Co,$1.90 ,61,Male,Retailing,Philippines
Leonid Mikhelson,$16.20 ,61,Male,"gas, chemicals",Russia
Pyotr Aven,$5.10 ,61,Male,"oil, banking, telecom",Russia
Farkhad Akhmedov,$1.40 ,61,Male,natural gas,Russia
Alexander Dzhaparidze,$1.20 ,61,Male,oil services,Russia
Prince Alwaleed Bin Talal Alsaud,$17.70 ,61,Male,investments,Saudi Arabia
Asok Kumar Hiranandani,$1.30 ,61,Male,real estate,Singapore
Shin Dong-Bin,$1.30 ,61,Male,retailing,South Korea
Finn Rausing,$6 ,61,Male,packaging,Sweden
Wei Ying-Chiao,$1.20 ,61,Male,"food, beverages",Taiwan
Tom Morris,$2.40 ,61,Male,Retail,United Kingdom
Farhad Moshiri,$2 ,61,Male,diversified,United Kingdom
Anthony Langley,$1.30 ,61,Male,manufacturing,United Kingdom
Eric Schmidt,$11.20 ,61,Male,Google,United States
"Paul Tudor Jones, II.",$4.60 ,61,Male,hedge funds,United States
Reinhold Schmieding,$4.40 ,61,Male,medical devices,United States
S. Curtis Johnson,$3.70 ,61,Male,cleaning products,United States
Jeff Greene,$3.30 ,61,Male,"real estate, investments",United States
Henry Samueli,$3.10 ,61,Male,semiconductors,United States
John Middleton,$2.70 ,61,Male,tobacco,United States
Jude Reyes,$2.60 ,61,Male,food distribution,United States
Jeff Rothschild,$2.20 ,61,Male,Facebook,United States
Jeffrey Lorberbaum,$2.10 ,61,Male,flooring,United States
Vinod Khosla,$1.50 ,61,Male,venture capital,United States
Edward Stack,$1.40 ,61,Male,Dick's Sporting Goods,United States
William Stone,$1.20 ,61,Male,SS&C Technologies,United States
Huang Bingwen,$1 ,62,Male,cigarette packaging,Australia
Joao Roberto Marinho,$4.90 ,62,Male,media,Brazil
Lirio Parisotto,$1.20 ,62,Male,investments,Brazil
Ke Zunhong,$3 ,62,Male,pharmaceuticals,China
Chanchai Ruayrungruang,$3 ,62,Male,real estate,China
Jiang Rensheng,$2.30 ,62,Male,vaccine production,China
Fu Guangming,$2.10 ,62,Male,poultry,China
Lou Zhongfu & family,$1.40 ,62,Male,real estate,China
Tian Ming,$1.30 ,62,Male,measuring instruments,China
Zhang Kaiyuan,$1.10 ,62,Male,gas desulfurization,China
Xiu Laigui,$1 ,62,Male,pharmaceuticals,China
Andrej Babis,$2.80 ,62,Male,agriculture,Czech Republic
Naguib Sawiris,$3 ,62,Male,telecom,Egypt
Norbert Dentressangle,$1.10 ,62,Male,transport/logistics,France
Martin Viessmann,$3.30 ,62,Male,heating equipment,Germany
Philip Niarchos,$2.50 ,62,Male,art collection,Greece
Thomas Lau,$1.20 ,62,Male,department stores,Hong Kong
Rajan Raheja & family,$2.50 ,62,Male,diversified,India
K. Dinesh,$1.20 ,62,Male,software services,India
Alexander Machkevich,$1.90 ,62,Male,"mining, metals",Israel
Diego Della Valle,$1.40 ,62,Male,shoes,Italy
Alijan Ibragimov,$1.90 ,62,Male,"mining, metals",Kazakhstan
German Larrea Mota Velasco,$10.80 ,62,Male,mining,Mexico
Prince Sultan bin Mohammed bin Saud Al Kabeer,$3.70 ,62,Male,dairy farms,Saudi Arabia
Raj Kumar & Kishin RK,$2.70 ,62,Male,real estate,Singapore
Shin Chang-Jae,$1.90 ,62,Male,insurance,South Korea
Shin Dong-Joo,$1.10 ,62,Male,retailing,South Korea
Isak Andic,$3.50 ,62,Male,clothing retail,Spain
Torbjorn Tornqvist,$1.80 ,62,Male,oil trading,Sweden
Martin Haefner,$2.50 ,62,Male,"software, investments",Switzerland
Faruk Eczacibasi,$1.50 ,62,Male,"pharmaceuticals, diversified",Turkey
Ali Ibrahim Agaoglu,$1.30 ,62,Male,construction,Turkey
Robert Rowling,$5.80 ,62,Male,investments,United States
Bubba Cathy,$3.60 ,62,Male,Chick-Fil-A,United States
Jimmy Haslam,$3.50 ,62,Male,"gas stations, retail",United States
Randal Kirk,$3.50 ,62,Male,pharmaceuticals,United States
Michael Moritz,$3 ,62,Male,venture capital,United States
J. Christopher Reyes,$2.60 ,62,Male,food distribution,United States
Thomas Secunda,$2.40 ,62,Male,Bloomberg LP,United States
Rodney Lewis,$1.40 ,62,Male,natural gas,United States
Gary Magness,$1.40 ,62,Male,"cable TV, investments",United States
William MacMillan,$1.20 ,62,Male,Cargill,United States
Michael Hintze,$1.80 ,63,Male,investment,Australia
Wolfgang Leitner,$1.70 ,63,Male,engineering,Austria
Patokh Chodiev,$1.80 ,63,Male,"mining, metals",Belgium
Joao Alves de Queiroz Filho,$1.20 ,63,Male,consumer goods,Brazil
Lu Zhiqiang,$4.80 ,63,Male,conglomerate,China
Zhang Li,$2.40 ,63,Male,real estate,China
Sun Xishuang,$2.40 ,63,Male,real estate,China
Hui Lin Chit,$2.20 ,63,Male,hygiene products,China
Lei Jufang,$1.80 ,63,Male,pharmaceuticals,China
Dou Zhenggang,$1.70 ,63,Male,"energy, waste, chemicals",China
Liu Baolin,$1.40 ,63,Male,"pharmacies, drug distribution",China
Huang Wen Tsai,$1.30 ,63,Male,real estate,China
Liu Changqing,$1.10 ,63,Male,banking equipment,China
Walter Droege,$6.40 ,63,Male,Consulting,Germany
Wolfgang Reimann,$4.30 ,63,Male,consumer goods,Germany
Jost Hellmann,$1.50 ,63,Male,logistics,Germany
Pankaj Patel,$4.50 ,63,Male,pharmaceuticals,India
Ravi Pillai,$3.40 ,63,Male,construction,India
Anil Agarwal,$1.90 ,63,Male,"mining, metals",India
Azad Moopen,$1.30 ,63,Male,healthcare,India
Eddy Kusnadi Sariaatmadja,$1.50 ,63,Male,"media, tech",Indonesia
Mori Arkin,$1.30 ,63,Male,pharmaceuticals,Israel
Hideyuki Busujima,$1.10 ,63,Male,pachinko machines,Japan
Mike Adenuga,$6.40 ,63,Male,"telecom, oil",Nigeria
Tony Tan Caktiong,$4.10 ,63,Male,fast food,Philippines
"Robert Coyiuto, Jr.",$1.60 ,63,Male,power,Philippines
Alisher Usmanov,$13.50 ,63,Male,"steel, telecom, investments",Russia
Gennady Timchenko,$13.10 ,63,Male,oil & gas,Russia
Viatcheslav Kantor,$2.90 ,63,Male,"fertilizer, real estate",Russia
Peter Lim,$2.40 ,63,Male,investments,Singapore
Choo Chong Ngen,$1.70 ,63,Male,hotels,Singapore
Koos Bekker,$1.80 ,63,Male,"media, investments",South Africa
Hong Seok-Joh,$1.40 ,63,Male,retail,South Korea
Wei Ing-Chou,$1.20 ,63,Male,"food, beverages",Taiwan
Hussain Sajwani,$3 ,63,Male,real estate,United Arab Emirates
James Ratcliffe,$6.90 ,63,Male,chemicals,United Kingdom
John Caudwell,$2.20 ,63,Male,mobile phones,United Kingdom
Hilton Schlosberg,$1.50 ,63,Male,Monster energy drinks,United Kingdom
Paul Allen,$18.90 ,63,Male,"Microsoft, investments",United States
Charles Ergen,$14.30 ,63,Male,satellite TV,United States
Andrew Beal,$8.90 ,63,Male,"banks, real estate",United States
Stanley Druckenmiller,$4.40 ,63,Male,hedge funds,United States
Dan Cathy,$3.60 ,63,Male,Chick-Fil-A,United States
Howard Schultz,$2.90 ,63,Male,Starbucks,United States
Bharat & Neerja Sethi Desai,$2.50 ,63,Male,IT consulting,United States
John Pritzker,$2.30 ,63,Male,"hotels, investments",United States
Thomas Siebel,$2.30 ,63,Male,business software,United States
Rakesh Gangwal,$2.20 ,63,Male,Airlines,United States
John Tyson,$2.20 ,63,Male,food processing,United States
Alec Gores,$2.10 ,63,Male,private equity,United States
Ron Burkle,$1.50 ,63,Male,"supermarkets, investments",United States
Michael Krasny,$1.40 ,63,Male,retail,United States
Robert Fisher,$1.30 ,63,Male,Gap,United States
Alan Rydge,$1.30 ,64,Male,entertainment,Australia
Huang Rulun,$3.90 ,64,Male,real estate,China
Qiu Guanghe,$3.80 ,64,Male,apparel retail,China
Gao Dekang,$1.10 ,64,Male,apparel,China
Tse Ping,$1 ,64,Male,pharmaceuticals,China
Suat Gunsel,$1.10 ,64,Male,"real estate, education",Cyprus
Vincent Bollore,$5.10 ,64,Male,investments,France
Aloys Wobben,$6.20 ,64,Male,wind turbines,Germany
Renate Reimann-Haas,$4.30 ,64,Male,consumer goods,Germany
Stephen Lansdown,$1.90 ,64,Male,financial services,Guernsey
Edwin Leong,$3.90 ,64,Male,real estate,Hong Kong
Billy Kan,$1.20 ,64,Male,"finance, energy",Hong Kong
Micky Jagtiani,$4.40 ,64,Male,retail,India
Anand Burman,$1.50 ,64,Male,consumer goods,India
Venugopal Dhoot,$1.20 ,64,Male,electronics,India
Bhadresh Shah,$1.10 ,64,Male,engineering,India
Sri Prakash Lohia,$5 ,64,Male,polyester,Indonesia
Tahir,$2.10 ,64,Male,diversified,Indonesia
Mario Moretti Polegato,$1.70 ,64,Male,shoes,Italy
Pier Luigi Loro Piana,$1.40 ,64,Male,fashion,Italy
Syed Mokhtar AlBukhary,$1.80 ,64,Male,diversified,Malaysia
Mohammed Al Barwani,$1.10 ,64,Male,oil,Oman
Andrew Tan,$3 ,64,Male,diversified,Philippines
Anatoly Lomakin,$1.40 ,64,Male,fertilizers,Russia
Vasily Anisimov,$1.30 ,64,Male,real estate,Russia
Arkady Rotenberg,$1.30 ,64,Male,"construction, pipes, banking",Russia
Chung Mong-Joon,$1.10 ,64,Male,shipbuilding/industrial machines,South Korea
Tsai Hong-tu,$1.90 ,64,Male,finance,Taiwan
Liao Long-Shing,$1.50 ,64,Male,petrochemicals,Taiwan
Richard Desmond,$1.40 ,64,Male,publishing,United Kingdom
Patrick Soon-Shiong,$10.30 ,64,Male,pharmaceuticals,United States
David Sun,$5.20 ,64,Male,computer hardware,United States
Mark Shoen,$2.70 ,64,Male,U-Haul,United States
Riley Bechtel,$2.50 ,64,Male,"engineering, construction",United States
Scott Cook,$2.10 ,64,Male,software,United States
Leonard Schleifer,$1.40 ,64,Male,pharmaceuticals,United States
Farris Wilks,$1.30 ,64,Male,natural gas,United States
Alexander Rovt,$1.30 ,64,Male,"fertilizer, real estate",United States
Peter Alfond,$1.20 ,64,Male,shoes,United States
Michael Price,$1.20 ,64,Male,investments,United States
Michael Klein,$1.10 ,65,Male,retail,Brazil
David Cheriton,$3.80 ,65,Male,Google,Canada
Peter Gilgan,$2 ,65,Male,homebuilding,Canada
Luis Enrique Yarur Rey,$1.20 ,65,Male,banking,Chile
Liu Yonghao,$4.80 ,65,Male,agribusiness,China
Zhang Guiping,$2.30 ,65,Male,real estate,China
Gao Tianguo,$2.10 ,65,Male,"real estate, finance",China
Liu Xuejing & family,$1.10 ,65,Male,"copper, poultry",China
Gerard Wertheimer,$11.80 ,65,Male,Chanel,France
"Theo Albrecht, Jr.",$20.30 ,65,Male,"Aldi, Trader Joe's",Germany
Wolfgang Herz,$4 ,65,Male,coffee,Germany
Hans Strothoff,$2.80 ,65,Male,"kitchen, plumbing retailer",Germany
Richard Oetker,$2.20 ,65,Male,consumer goods,Germany
Friedrich Knapp,$1.20 ,65,Male,retail,Germany
Joseph Lau,$12.80 ,65,Male,real estate,Hong Kong
Walter Kwok,$8.60 ,65,Male,real estate,Hong Kong
Huang Shih Tsai,$2.40 ,65,Male,real estate,Hong Kong
Or Wai Sheun,$1.80 ,65,Male,real estate,Hong Kong
Subhash Chandra,$4.50 ,65,Male,media,India
Harsh Mariwala,$3.60 ,65,Male,consumer goods,India
Murali Divi,$2.80 ,65,Male,pharmaceuticals,India
Rishad Naoroji,$2.50 ,65,Male,consumer goods,India
Nadir Godrej,$2.50 ,65,Male,diversified,India
Satish Mehta,$1.60 ,65,Male,Pharma,India
Odd Reitan,$4.70 ,65,Male,"retail, real estate",Norway
Vladimir Bogdanov,$1.70 ,65,Male,oil,Russia
Leonid Boguslavsky,$1.20 ,65,Male,venture capital,Russia
Chang Pyung-Soon,$1.60 ,65,Male,educational services,South Korea
Frederik Paulsen,$6.20 ,65,Male,health care,Sweden
Fredrik Lundberg,$4.90 ,65,Male,"real estate, investments",Sweden
Carl Bennet,$2.60 ,65,Male,investments,Sweden
